Brand;Year;# Models;Sales
Sony Ericsson  ;2015;0;
Sony Ericsson  ;2016;0;
Sony Ericsson  ;2017;0;
Sony Ericsson  ;2018;0;
Sony Ericsson  ;2019;0;
Sony Ericsson  ;2461;1;
Sony Ericsson  ;2614;2;
Spice          ;2010;36;
Spice          ;2011;17;
Spice          ;2012;18;
Spice          ;2013;23;
Spice          ;2014;26;
T-Mobile       ;2006;3;
T-Mobile       ;2007;3;
T-Mobile       ;2008;3;
T-Mobile       ;2009;13;
T-Mobile       ;2010;10;
T-Mobile       ;2011;14;
T-Mobile       ;2012;4;
T-Mobile       ;2013;1;
TCL            ;1992;0;
TCL            ;1993;0;
TCL            ;1994;0;
TCL            ;1995;0;
TCL            ;1996;0;
TCL            ;1997;0;
TCL            ;1998;0;
TCL            ;1999;0;
TCL            ;2000;0;
TCL            ;2001;0;
TCL            ;2002;0;
TCL            ;2003;0;
TCL            ;2004;0;
TCL            ;2005;0;
TCL            ;2006;0;
